impl,threads,size,run,elapsed_ms
no_transpose,1,1000,1,4970
no_transpose,3,1000,1,1584
no_transpose,5,1000,1,1179
no_transpose,7,1000,1,911
no_transpose,9,1000,1,788
no_transpose,11,1000,1,643
no_transpose,13,1000,1,622
no_transpose,15,1000,1,551
no_transpose,17,1000,1,600
no_transpose,19,1000,1,567
no_transpose,1,1000,2,4816
no_transpose,3,1000,2,1562
no_transpose,5,1000,2,1255
no_transpose,7,1000,2,958
no_transpose,9,1000,2,782
no_transpose,11,1000,2,645
no_transpose,13,1000,2,544
no_transpose,15,1000,2,510
no_transpose,17,1000,2,594
no_transpose,19,1000,2,552
no_transpose,1,1000,3,4909
no_transpose,3,1000,3,1793
no_transpose,5,1000,3,1258
no_transpose,7,1000,3,939
no_transpose,9,1000,3,799
no_transpose,11,1000,3,641
no_transpose,13,1000,3,561
no_transpose,15,1000,3,529
no_transpose,17,1000,3,571
no_transpose,19,1000,3,562
no_transpose,1,1000,4,4805
no_transpose,3,1000,4,1567
no_transpose,5,1000,4,1282
no_transpose,7,1000,4,936
no_transpose,9,1000,4,757
no_transpose,11,1000,4,642
no_transpose,13,1000,4,568
no_transpose,15,1000,4,546
no_transpose,17,1000,4,578
no_transpose,19,1000,4,560
no_transpose,1,1000,5,4793
no_transpose,3,1000,5,1568
no_transpose,5,1000,5,1281
no_transpose,7,1000,5,919
no_transpose,9,1000,5,794
no_transpose,11,1000,5,645
no_transpose,13,1000,5,546
no_transpose,15,1000,5,527
no_transpose,17,1000,5,565
no_transpose,19,1000,5,594
no_transpose,1,1000,6,4851
no_transpose,3,1000,6,1652
no_transpose,5,1000,6,1278
no_transpose,7,1000,6,932
no_transpose,9,1000,6,769
no_transpose,11,1000,6,638
no_transpose,13,1000,6,554
no_transpose,15,1000,6,534
no_transpose,17,1000,6,548
no_transpose,19,1000,6,552
no_transpose,1,1000,7,5054
no_transpose,3,1000,7,1615
no_transpose,5,1000,7,1389
no_transpose,7,1000,7,946
no_transpose,9,1000,7,790
no_transpose,11,1000,7,631
no_transpose,13,1000,7,572
no_transpose,15,1000,7,755
no_transpose,17,1000,7,569
no_transpose,19,1000,7,560
no_transpose,1,1000,8,4667
no_transpose,3,1000,8,1618
no_transpose,5,1000,8,1142
no_transpose,7,1000,8,960
no_transpose,9,1000,8,761
no_transpose,11,1000,8,645
no_transpose,13,1000,8,556
no_transpose,15,1000,8,611
no_transpose,17,1000,8,608
no_transpose,19,1000,8,576
no_transpose,1,1000,9,5038
no_transpose,3,1000,9,1730
no_transpose,5,1000,9,1452
no_transpose,7,1000,9,1049
no_transpose,9,1000,9,818
no_transpose,11,1000,9,682
no_transpose,13,1000,9,618
no_transpose,15,1000,9,715
no_transpose,17,1000,9,638
no_transpose,19,1000,9,551
no_transpose,1,1000,10,4901
no_transpose,3,1000,10,1535
no_transpose,5,1000,10,1243
no_transpose,7,1000,10,915
no_transpose,9,1000,10,802
no_transpose,11,1000,10,669
no_transpose,13,1000,10,725
no_transpose,15,1000,10,898
no_transpose,17,1000,10,764
no_transpose,19,1000,10,667
