workload,impl,threads,size,run,elapsed_ms,mode
matrix,openmp,1,1000,1,3718,balanced
matrix,openmp,3,1000,1,1248,balanced
matrix,openmp,5,1000,1,1083,balanced
matrix,openmp,7,1000,1,768,balanced
matrix,openmp,9,1000,1,675,balanced
matrix,openmp,11,1000,1,559,balanced
matrix,openmp,13,1000,1,488,balanced
matrix,openmp,15,1000,1,431,balanced
matrix,openmp,17,1000,1,406,balanced
matrix,openmp,19,1000,1,443,balanced
matrix,openmp,21,1000,1,455,balanced
matrix,openmp,1,1000,2,3660,balanced
matrix,openmp,3,1000,2,1222,balanced
matrix,openmp,5,1000,2,1065,balanced
matrix,openmp,7,1000,2,797,balanced
matrix,openmp,9,1000,2,656,balanced
matrix,openmp,11,1000,2,570,balanced
matrix,openmp,13,1000,2,491,balanced
matrix,openmp,15,1000,2,433,balanced
matrix,openmp,17,1000,2,457,balanced
matrix,openmp,19,1000,2,445,balanced
matrix,openmp,21,1000,2,451,balanced
matrix,openmp,1,1000,3,3663,balanced
matrix,openmp,3,1000,3,1249,balanced
matrix,openmp,5,1000,3,1066,balanced
matrix,openmp,7,1000,3,769,balanced
matrix,openmp,9,1000,3,661,balanced
matrix,openmp,11,1000,3,576,balanced
matrix,openmp,13,1000,3,519,balanced
matrix,openmp,15,1000,3,458,balanced
matrix,openmp,17,1000,3,515,balanced
matrix,openmp,19,1000,3,472,balanced
matrix,openmp,21,1000,3,439,balanced
matrix,openmp,1,1000,4,3745,balanced
matrix,openmp,3,1000,4,1250,balanced
matrix,openmp,5,1000,4,1066,balanced
matrix,openmp,7,1000,4,778,balanced
matrix,openmp,9,1000,4,676,balanced
matrix,openmp,11,1000,4,565,balanced
matrix,openmp,13,1000,4,494,balanced
matrix,openmp,15,1000,4,462,balanced
matrix,openmp,17,1000,4,453,balanced
matrix,openmp,19,1000,4,443,balanced
matrix,openmp,21,1000,4,466,balanced
matrix,openmp,1,1000,5,3678,balanced
matrix,openmp,3,1000,5,1248,balanced
matrix,openmp,5,1000,5,1082,balanced
matrix,openmp,7,1000,5,787,balanced
matrix,openmp,9,1000,5,687,balanced
matrix,openmp,11,1000,5,567,balanced
matrix,openmp,13,1000,5,498,balanced
matrix,openmp,15,1000,5,441,balanced
matrix,openmp,17,1000,5,496,balanced
matrix,openmp,19,1000,5,468,balanced
matrix,openmp,21,1000,5,455,balanced
matrix,openmp,1,1000,6,3698,balanced
matrix,openmp,3,1000,6,1245,balanced
matrix,openmp,5,1000,6,1019,balanced
matrix,openmp,7,1000,6,782,balanced
matrix,openmp,9,1000,6,654,balanced
matrix,openmp,11,1000,6,560,balanced
matrix,openmp,13,1000,6,495,balanced
matrix,openmp,15,1000,6,439,balanced
matrix,openmp,17,1000,6,464,balanced
matrix,openmp,19,1000,6,454,balanced
matrix,openmp,21,1000,6,448,balanced
matrix,openmp,1,1000,7,3677,balanced
matrix,openmp,3,1000,7,1237,balanced
matrix,openmp,5,1000,7,1068,balanced
matrix,openmp,7,1000,7,770,balanced
matrix,openmp,9,1000,7,660,balanced
matrix,openmp,11,1000,7,553,balanced
matrix,openmp,13,1000,7,492,balanced
matrix,openmp,15,1000,7,431,balanced
matrix,openmp,17,1000,7,423,balanced
matrix,openmp,19,1000,7,449,balanced
matrix,openmp,21,1000,7,449,balanced
matrix,openmp,1,1000,8,3704,balanced
matrix,openmp,3,1000,8,1248,balanced
matrix,openmp,5,1000,8,921,balanced
matrix,openmp,7,1000,8,788,balanced
matrix,openmp,9,1000,8,689,balanced
matrix,openmp,11,1000,8,564,balanced
matrix,openmp,13,1000,8,505,balanced
matrix,openmp,15,1000,8,459,balanced
matrix,openmp,17,1000,8,487,balanced
matrix,openmp,19,1000,8,455,balanced
matrix,openmp,21,1000,8,455,balanced
matrix,openmp,1,1000,9,3729,balanced
matrix,openmp,3,1000,9,1240,balanced
matrix,openmp,5,1000,9,938,balanced
matrix,openmp,7,1000,9,779,balanced
matrix,openmp,9,1000,9,678,balanced
matrix,openmp,11,1000,9,558,balanced
matrix,openmp,13,1000,9,490,balanced
matrix,openmp,15,1000,9,439,balanced
matrix,openmp,17,1000,9,456,balanced
matrix,openmp,19,1000,9,436,balanced
matrix,openmp,21,1000,9,455,balanced
matrix,openmp,1,1000,10,3727,balanced
matrix,openmp,3,1000,10,1239,balanced
matrix,openmp,5,1000,10,954,balanced
matrix,openmp,7,1000,10,800,balanced
matrix,openmp,9,1000,10,650,balanced
matrix,openmp,11,1000,10,571,balanced
matrix,openmp,13,1000,10,499,balanced
matrix,openmp,15,1000,10,459,balanced
matrix,openmp,17,1000,10,452,balanced
matrix,openmp,19,1000,10,442,balanced
matrix,openmp,21,1000,10,443,balanced
