workload,impl,threads,size,run,elapsed_ms,mode
matrix,openmp,1,1000,1,1847,performance
matrix,openmp,3,1000,1,651,performance
matrix,openmp,5,1000,1,577,performance
matrix,openmp,7,1000,1,445,performance
matrix,openmp,9,1000,1,380,performance
matrix,openmp,11,1000,1,341,performance
matrix,openmp,13,1000,1,302,performance
matrix,openmp,15,1000,1,279,performance
matrix,openmp,17,1000,1,267,performance
matrix,openmp,19,1000,1,281,performance
matrix,openmp,21,1000,1,277,performance
matrix,openmp,1,1000,2,1806,performance
matrix,openmp,3,1000,2,648,performance
matrix,openmp,5,1000,2,566,performance
matrix,openmp,7,1000,2,446,performance
matrix,openmp,9,1000,2,387,performance
matrix,openmp,11,1000,2,343,performance
matrix,openmp,13,1000,2,300,performance
matrix,openmp,15,1000,2,278,performance
matrix,openmp,17,1000,2,256,performance
matrix,openmp,19,1000,2,279,performance
matrix,openmp,21,1000,2,277,performance
matrix,openmp,1,1000,3,1806,performance
matrix,openmp,3,1000,3,646,performance
matrix,openmp,5,1000,3,566,performance
matrix,openmp,7,1000,3,444,performance
matrix,openmp,9,1000,3,398,performance
matrix,openmp,11,1000,3,340,performance
matrix,openmp,13,1000,3,304,performance
matrix,openmp,15,1000,3,271,performance
matrix,openmp,17,1000,3,294,performance
matrix,openmp,19,1000,3,277,performance
matrix,openmp,21,1000,3,282,performance
matrix,openmp,1,1000,4,1830,performance
matrix,openmp,3,1000,4,664,performance
matrix,openmp,5,1000,4,570,performance
matrix,openmp,7,1000,4,445,performance
matrix,openmp,9,1000,4,382,performance
matrix,openmp,11,1000,4,350,performance
matrix,openmp,13,1000,4,306,performance
matrix,openmp,15,1000,4,270,performance
matrix,openmp,17,1000,4,269,performance
matrix,openmp,19,1000,4,273,performance
matrix,openmp,21,1000,4,277,performance
matrix,openmp,1,1000,5,1808,performance
matrix,openmp,3,1000,5,650,performance
matrix,openmp,5,1000,5,507,performance
matrix,openmp,7,1000,5,442,performance
matrix,openmp,9,1000,5,390,performance
matrix,openmp,11,1000,5,336,performance
matrix,openmp,13,1000,5,307,performance
matrix,openmp,15,1000,5,282,performance
matrix,openmp,17,1000,5,255,performance
matrix,openmp,19,1000,5,278,performance
matrix,openmp,21,1000,5,280,performance
matrix,openmp,1,1000,6,1940,performance
matrix,openmp,3,1000,6,770,performance
matrix,openmp,5,1000,6,599,performance
matrix,openmp,7,1000,6,443,performance
matrix,openmp,9,1000,6,382,performance
matrix,openmp,11,1000,6,338,performance
matrix,openmp,13,1000,6,304,performance
matrix,openmp,15,1000,6,274,performance
matrix,openmp,17,1000,6,298,performance
matrix,openmp,19,1000,6,280,performance
matrix,openmp,21,1000,6,280,performance
matrix,openmp,1,1000,7,1836,performance
matrix,openmp,3,1000,7,646,performance
matrix,openmp,5,1000,7,576,performance
matrix,openmp,7,1000,7,448,performance
matrix,openmp,9,1000,7,397,performance
matrix,openmp,11,1000,7,337,performance
matrix,openmp,13,1000,7,301,performance
matrix,openmp,15,1000,7,274,performance
matrix,openmp,17,1000,7,284,performance
matrix,openmp,19,1000,7,273,performance
matrix,openmp,21,1000,7,283,performance
matrix,openmp,1,1000,8,1822,performance
matrix,openmp,3,1000,8,652,performance
matrix,openmp,5,1000,8,565,performance
matrix,openmp,7,1000,8,456,performance
matrix,openmp,9,1000,8,392,performance
matrix,openmp,11,1000,8,337,performance
matrix,openmp,13,1000,8,303,performance
matrix,openmp,15,1000,8,273,performance
matrix,openmp,17,1000,8,260,performance
matrix,openmp,19,1000,8,277,performance
matrix,openmp,21,1000,8,281,performance
matrix,openmp,1,1000,9,1809,performance
matrix,openmp,3,1000,9,650,performance
matrix,openmp,5,1000,9,569,performance
matrix,openmp,7,1000,9,445,performance
matrix,openmp,9,1000,9,395,performance
matrix,openmp,11,1000,9,343,performance
matrix,openmp,13,1000,9,313,performance
matrix,openmp,15,1000,9,282,performance
matrix,openmp,17,1000,9,274,performance
matrix,openmp,19,1000,9,252,performance
matrix,openmp,21,1000,9,277,performance
matrix,openmp,1,1000,10,1836,performance
matrix,openmp,3,1000,10,647,performance
matrix,openmp,5,1000,10,524,performance
matrix,openmp,7,1000,10,440,performance
matrix,openmp,9,1000,10,384,performance
matrix,openmp,11,1000,10,340,performance
matrix,openmp,13,1000,10,304,performance
matrix,openmp,15,1000,10,275,performance
matrix,openmp,17,1000,10,306,performance
matrix,openmp,19,1000,10,249,performance
matrix,openmp,21,1000,10,280,performance
