workload,impl,threads,size,run,elapsed_ms,mode
matrix,threads,1,1000,1,3689,balanced
matrix,threads,3,1000,1,1220,balanced
matrix,threads,5,1000,1,1065,balanced
matrix,threads,7,1000,1,791,balanced
matrix,threads,9,1000,1,677,balanced
matrix,threads,11,1000,1,588,balanced
matrix,threads,13,1000,1,491,balanced
matrix,threads,15,1000,1,472,balanced
matrix,threads,17,1000,1,460,balanced
matrix,threads,19,1000,1,459,balanced
matrix,threads,21,1000,1,441,balanced
matrix,threads,1,1000,2,3669,balanced
matrix,threads,3,1000,2,1224,balanced
matrix,threads,5,1000,2,987,balanced
matrix,threads,7,1000,2,762,balanced
matrix,threads,9,1000,2,667,balanced
matrix,threads,11,1000,2,567,balanced
matrix,threads,13,1000,2,492,balanced
matrix,threads,15,1000,2,473,balanced
matrix,threads,17,1000,2,410,balanced
matrix,threads,19,1000,2,458,balanced
matrix,threads,21,1000,2,438,balanced
matrix,threads,1,1000,3,3659,balanced
matrix,threads,3,1000,3,1248,balanced
matrix,threads,5,1000,3,1011,balanced
matrix,threads,7,1000,3,762,balanced
matrix,threads,9,1000,3,667,balanced
matrix,threads,11,1000,3,561,balanced
matrix,threads,13,1000,3,492,balanced
matrix,threads,15,1000,3,465,balanced
matrix,threads,17,1000,3,425,balanced
matrix,threads,19,1000,3,469,balanced
matrix,threads,21,1000,3,430,balanced
matrix,threads,1,1000,4,3667,balanced
matrix,threads,3,1000,4,1223,balanced
matrix,threads,5,1000,4,1073,balanced
matrix,threads,7,1000,4,759,balanced
matrix,threads,9,1000,4,650,balanced
matrix,threads,11,1000,4,563,balanced
matrix,threads,13,1000,4,497,balanced
matrix,threads,15,1000,4,474,balanced
matrix,threads,17,1000,4,526,balanced
matrix,threads,19,1000,4,501,balanced
matrix,threads,21,1000,4,453,balanced
matrix,threads,1,1000,5,3842,balanced
matrix,threads,3,1000,5,1253,balanced
matrix,threads,5,1000,5,1072,balanced
matrix,threads,7,1000,5,819,balanced
matrix,threads,9,1000,5,686,balanced
matrix,threads,11,1000,5,572,balanced
matrix,threads,13,1000,5,506,balanced
matrix,threads,15,1000,5,537,balanced
matrix,threads,17,1000,5,521,balanced
matrix,threads,19,1000,5,482,balanced
matrix,threads,21,1000,5,472,balanced
matrix,threads,1,1000,6,3715,balanced
matrix,threads,3,1000,6,1240,balanced
matrix,threads,5,1000,6,1065,balanced
matrix,threads,7,1000,6,778,balanced
matrix,threads,9,1000,6,649,balanced
matrix,threads,11,1000,6,561,balanced
matrix,threads,13,1000,6,516,balanced
matrix,threads,15,1000,6,480,balanced
matrix,threads,17,1000,6,492,balanced
matrix,threads,19,1000,6,456,balanced
matrix,threads,21,1000,6,482,balanced
matrix,threads,1,1000,7,3659,balanced
matrix,threads,3,1000,7,1303,balanced
matrix,threads,5,1000,7,1071,balanced
matrix,threads,7,1000,7,795,balanced
matrix,threads,9,1000,7,678,balanced
matrix,threads,11,1000,7,563,balanced
matrix,threads,13,1000,7,491,balanced
matrix,threads,15,1000,7,442,balanced
matrix,threads,17,1000,7,457,balanced
matrix,threads,19,1000,7,454,balanced
matrix,threads,21,1000,7,454,balanced
matrix,threads,1,1000,8,3673,balanced
matrix,threads,3,1000,8,1224,balanced
matrix,threads,5,1000,8,1045,balanced
matrix,threads,7,1000,8,769,balanced
matrix,threads,9,1000,8,636,balanced
matrix,threads,11,1000,8,558,balanced
matrix,threads,13,1000,8,526,balanced
matrix,threads,15,1000,8,447,balanced
matrix,threads,17,1000,8,483,balanced
matrix,threads,19,1000,8,449,balanced
matrix,threads,21,1000,8,521,balanced
matrix,threads,1,1000,9,3695,balanced
matrix,threads,3,1000,9,1286,balanced
matrix,threads,5,1000,9,1066,balanced
matrix,threads,7,1000,9,794,balanced
matrix,threads,9,1000,9,657,balanced
matrix,threads,11,1000,9,559,balanced
matrix,threads,13,1000,9,533,balanced
matrix,threads,15,1000,9,447,balanced
matrix,threads,17,1000,9,432,balanced
matrix,threads,19,1000,9,489,balanced
matrix,threads,21,1000,9,479,balanced
matrix,threads,1,1000,10,3675,balanced
matrix,threads,3,1000,10,1261,balanced
matrix,threads,5,1000,10,1064,balanced
matrix,threads,7,1000,10,763,balanced
matrix,threads,9,1000,10,679,balanced
matrix,threads,11,1000,10,557,balanced
matrix,threads,13,1000,10,493,balanced
matrix,threads,15,1000,10,437,balanced
matrix,threads,17,1000,10,495,balanced
matrix,threads,19,1000,10,459,balanced
matrix,threads,21,1000,10,455,balanced
