workload,impl,threads,size,run,elapsed_ms,mode
matrix,threads,1,1000,1,1870,performance
matrix,threads,3,1000,1,653,performance
matrix,threads,5,1000,1,568,performance
matrix,threads,7,1000,1,447,performance
matrix,threads,9,1000,1,402,performance
matrix,threads,11,1000,1,342,performance
matrix,threads,13,1000,1,316,performance
matrix,threads,15,1000,1,277,performance
matrix,threads,17,1000,1,272,performance
matrix,threads,19,1000,1,276,performance
matrix,threads,21,1000,1,265,performance
matrix,threads,1,1000,2,1811,performance
matrix,threads,3,1000,2,674,performance
matrix,threads,5,1000,2,573,performance
matrix,threads,7,1000,2,449,performance
matrix,threads,9,1000,2,399,performance
matrix,threads,11,1000,2,347,performance
matrix,threads,13,1000,2,310,performance
matrix,threads,15,1000,2,283,performance
matrix,threads,17,1000,2,292,performance
matrix,threads,19,1000,2,303,performance
matrix,threads,21,1000,2,290,performance
matrix,threads,1,1000,3,1914,performance
matrix,threads,3,1000,3,660,performance
matrix,threads,5,1000,3,572,performance
matrix,threads,7,1000,3,468,performance
matrix,threads,9,1000,3,393,performance
matrix,threads,11,1000,3,346,performance
matrix,threads,13,1000,3,311,performance
matrix,threads,15,1000,3,291,performance
matrix,threads,17,1000,3,303,performance
matrix,threads,19,1000,3,284,performance
matrix,threads,21,1000,3,283,performance
matrix,threads,1,1000,4,1831,performance
matrix,threads,3,1000,4,669,performance
matrix,threads,5,1000,4,516,performance
matrix,threads,7,1000,4,452,performance
matrix,threads,9,1000,4,393,performance
matrix,threads,11,1000,4,343,performance
matrix,threads,13,1000,4,312,performance
matrix,threads,15,1000,4,286,performance
matrix,threads,17,1000,4,258,performance
matrix,threads,19,1000,4,277,performance
matrix,threads,21,1000,4,276,performance
matrix,threads,1,1000,5,1812,performance
matrix,threads,3,1000,5,654,performance
matrix,threads,5,1000,5,568,performance
matrix,threads,7,1000,5,455,performance
matrix,threads,9,1000,5,406,performance
matrix,threads,11,1000,5,354,performance
matrix,threads,13,1000,5,326,performance
matrix,threads,15,1000,5,290,performance
matrix,threads,17,1000,5,291,performance
matrix,threads,19,1000,5,286,performance
matrix,threads,21,1000,5,267,performance
matrix,threads,1,1000,6,1809,performance
matrix,threads,3,1000,6,656,performance
matrix,threads,5,1000,6,586,performance
matrix,threads,7,1000,6,442,performance
matrix,threads,9,1000,6,392,performance
matrix,threads,11,1000,6,340,performance
matrix,threads,13,1000,6,322,performance
matrix,threads,15,1000,6,282,performance
matrix,threads,17,1000,6,329,performance
matrix,threads,19,1000,6,289,performance
matrix,threads,21,1000,6,308,performance
matrix,threads,1,1000,7,1817,performance
matrix,threads,3,1000,7,659,performance
matrix,threads,5,1000,7,571,performance
matrix,threads,7,1000,7,447,performance
matrix,threads,9,1000,7,403,performance
matrix,threads,11,1000,7,349,performance
matrix,threads,13,1000,7,314,performance
matrix,threads,15,1000,7,292,performance
matrix,threads,17,1000,7,291,performance
matrix,threads,19,1000,7,296,performance
matrix,threads,21,1000,7,275,performance
matrix,threads,1,1000,8,1803,performance
matrix,threads,3,1000,8,656,performance
matrix,threads,5,1000,8,575,performance
matrix,threads,7,1000,8,447,performance
matrix,threads,9,1000,8,407,performance
matrix,threads,11,1000,8,348,performance
matrix,threads,13,1000,8,313,performance
matrix,threads,15,1000,8,278,performance
matrix,threads,17,1000,8,279,performance
matrix,threads,19,1000,8,284,performance
matrix,threads,21,1000,8,290,performance
matrix,threads,1,1000,9,1810,performance
matrix,threads,3,1000,9,643,performance
matrix,threads,5,1000,9,581,performance
matrix,threads,7,1000,9,454,performance
matrix,threads,9,1000,9,396,performance
matrix,threads,11,1000,9,344,performance
matrix,threads,13,1000,9,313,performance
matrix,threads,15,1000,9,277,performance
matrix,threads,17,1000,9,293,performance
matrix,threads,19,1000,9,306,performance
matrix,threads,21,1000,9,281,performance
matrix,threads,1,1000,10,1815,performance
matrix,threads,3,1000,10,650,performance
matrix,threads,5,1000,10,570,performance
matrix,threads,7,1000,10,465,performance
matrix,threads,9,1000,10,413,performance
matrix,threads,11,1000,10,348,performance
matrix,threads,13,1000,10,315,performance
matrix,threads,15,1000,10,281,performance
matrix,threads,17,1000,10,283,performance
matrix,threads,19,1000,10,289,performance
matrix,threads,21,1000,10,277,performance
