impl,threads,size,run,elapsed_ms
transposed,1,1000,1,3793
transposed,3,1000,1,1228
transposed,5,1000,1,1077
transposed,7,1000,1,794
transposed,9,1000,1,668
transposed,11,1000,1,575
transposed,13,1000,1,502
transposed,15,1000,1,442
transposed,17,1000,1,419
transposed,19,1000,1,459
transposed,1,1000,2,3675
transposed,3,1000,2,1239
transposed,5,1000,2,992
transposed,7,1000,2,777
transposed,9,1000,2,681
transposed,11,1000,2,579
transposed,13,1000,2,502
transposed,15,1000,2,459
transposed,17,1000,2,494
transposed,19,1000,2,470
transposed,1,1000,3,3777
transposed,3,1000,3,1272
transposed,5,1000,3,1065
transposed,7,1000,3,783
transposed,9,1000,3,692
transposed,11,1000,3,594
transposed,13,1000,3,519
transposed,15,1000,3,478
transposed,17,1000,3,516
transposed,19,1000,3,459
transposed,1,1000,4,3753
transposed,3,1000,4,1342
transposed,5,1000,4,1070
transposed,7,1000,4,804
transposed,9,1000,4,684
transposed,11,1000,4,599
transposed,13,1000,4,541
transposed,15,1000,4,462
transposed,17,1000,4,484
transposed,19,1000,4,473
transposed,1,1000,5,3789
transposed,3,1000,5,1240
transposed,5,1000,5,1086
transposed,7,1000,5,805
transposed,9,1000,5,706
transposed,11,1000,5,593
transposed,13,1000,5,515
transposed,15,1000,5,464
transposed,17,1000,5,482
transposed,19,1000,5,480
transposed,1,1000,6,3696
transposed,3,1000,6,1262
transposed,5,1000,6,1096
transposed,7,1000,6,840
transposed,9,1000,6,676
transposed,11,1000,6,580
transposed,13,1000,6,511
transposed,15,1000,6,503
transposed,17,1000,6,482
transposed,19,1000,6,483
transposed,1,1000,7,3705
transposed,3,1000,7,1303
transposed,5,1000,7,1089
transposed,7,1000,7,803
transposed,9,1000,7,688
transposed,11,1000,7,600
transposed,13,1000,7,548
transposed,15,1000,7,461
transposed,17,1000,7,441
transposed,19,1000,7,484
transposed,1,1000,8,3795
transposed,3,1000,8,1275
transposed,5,1000,8,1153
transposed,7,1000,8,895
transposed,9,1000,8,745
transposed,11,1000,8,564
transposed,13,1000,8,535
transposed,15,1000,8,493
transposed,17,1000,8,502
transposed,19,1000,8,477
transposed,1,1000,9,3801
transposed,3,1000,9,1243
transposed,5,1000,9,1065
transposed,7,1000,9,787
transposed,9,1000,9,688
transposed,11,1000,9,587
transposed,13,1000,9,519
transposed,15,1000,9,521
transposed,17,1000,9,490
transposed,19,1000,9,517
transposed,1,1000,10,3770
transposed,3,1000,10,1259
transposed,5,1000,10,1077
transposed,7,1000,10,799
transposed,9,1000,10,662
transposed,11,1000,10,581
transposed,13,1000,10,514
transposed,15,1000,10,473
transposed,17,1000,10,488
transposed,19,1000,10,482
